学生ID,学生姓名,性别,民族,入学年份,出生日期,家庭住址,家庭类型,政治面貌,入学排名,宿舍号,是否退学
14575,周永珍,男,汉族,2017,2001-04-13,河北省廊坊市大厂回族自治县,城镇,共青团员,32,304,0
14576,卫寻南,男,汉族,2016,2002-04-27,安徽省黄山市休宁县,城镇,共青团员,33,314,0
14577,李花娥,女,汉族,2017,2002-10-15,青海省黄南藏族自治州河南蒙古族自治县,城镇,共青团员,34,-1,0
14578,王心菲,女,汉族,2016,2002-10-03,陕西省宝鸡市扶风县,城镇,共青团员,35,605,0
14579,尤洋,女,汉族,2017,2001-11-23,河南省周口市周口市,城镇,共青团员,36,-1,0
14580,凤霭,女,汉族,2016,2001-08-12,湖南省湘西土家族苗族自治州古丈县,城镇,共青团员,37,-1,0
14582,谭武琴,男,汉族,2017,2002-01-02,广东省深圳市盐田区,城镇,共青团员,38,-1,0
14583,褚银姣,女,汉族,2017,2001-10-06,浙江省绍兴市上虞区,城镇,共青团员,39,-1,0
14584,朱冷安,女,汉族,2017,2001-06-16,青海省果洛藏族自治州玛沁县,城镇,共青团员,40,-1,0
14585,周易梦,女,汉族,2017,2001-10-23,江西省赣州市大余县,城镇,共青团员,41,-1,0
14586,钱谷山,男,汉族,2017,2001-08-05,云南省大理白族自治州祥云县,城镇,共青团员,42,302,0
14587,姜黄萍,女,汉族,2017,2001-05-19,广东省清远市佛冈县,城镇,共青团员,43,-1,0
14588,吕含卉,女,汉族,2017,2002-02-17,四川省巴中市南江县,城镇,共青团员,44,612,0
14589,任春燕,男,汉族,2017,2001-03-08,浙江省衢州市常山县,城镇,共青团员,45,-1,0
14590,沈滢,男,汉族,2016,2002-03-21,河北省保定市高碑店市,城镇,一般,46,306,0
14591,李桂兰,女,汉族,2017,2002-11-17,广东省清远市连南瑶族自治县,城镇,共青团员,47,-1,0
14592,蒋红恋,男,汉族,2017,2001-08-15,河北省沧州市泊头市,城镇,共青团员,48,-1,0
14593,陶勤,女,汉族,2016,2001-05-11,浙江省杭州市建德市,城镇,共青团员,49,-1,0
14594,施碧香,女,汉族,2017,2002-09-22,黑龙江省佳木斯市抚远市,城镇,共青团员,50,618,0
14595,李银姣,女,汉族,2017,2001-03-18,陕西省渭南市渭南市,城镇,共青团员,51,607,0
14596,杨眉,男,汉族,2016,2001-11-15,江苏省苏州市相城区,城镇,共青团员,52,312,0
14597,鲁政群,男,汉族,2017,2002-09-22,陕西省延安市甘泉县,城镇,共青团员,53,-1,0
14598,郎绮菱,女,汉族,2016,2002-09-26,河北省沧州市东光县,城镇,共青团员,54,-1,0
14599,冯冬儿,女,汉族,2017,2002-04-02,河北省邯郸市临漳县,城镇,共青团员,55,-1,0
14600,严冰露,女,汉族,2017,2002-06-01,内蒙古自治区呼伦贝尔市牙克石市,城镇,共青团员,56,615,0
14601,蒋亦瑶,男,满族,2016,2001-05-06,内蒙古自治区包头市青山区,城镇,共青团员,57,-1,0
14602,施成倩,女,汉族,2017,2001-10-22,广东省阳江市阳春市,城镇,共青团员,58,-1,0
14603,陈春燕,女,汉族,2017,2002-11-06,河北省邯郸市复兴区,城镇,共青团员,59,619,0
14604,孙敏,男,汉族,2016,2001-08-04,河南省驻马店市遂平县,城镇,一般,60,-1,0
14605,韩静娴,女,汉族,2017,2002-05-20,福建省龙岩市连城县,城镇,共青团员,61,-1,0
14606,施如霜,女,汉族,2017,2002-10-26,浙江省衢州市龙游县,城镇,共青团员,62,-1,0
14607,姜念,女,汉族,2016,2001-05-11,吉林省松原市宁江区,城镇,共青团员,63,-1,0
14608,金英,男,汉族,2017,2002-03-11,浙江省杭州市拱墅区,城镇,共青团员,64,-1,0
14609,滕福兰,女,汉族,2017,2001-08-01,安徽省淮南市潘集区,城镇,共青团员,65,-1,0
14610,陈慧,男,汉族,2017,2002-06-25,江西省宜春市上高县,城镇,共青团员,66,-1,0
14720,姜昭娣,女,汉族,2017,2001-01-21,江西省赣州市南康区,城镇,共青团员,67,-1,0
14611,冯翠翠,女,汉族,2016,2001-10-10,云南省文山壮族苗族自治州丘北县,城镇,共青团员,68,609,0
14612,冯春文,男,汉族,2017,2002-05-09,广西壮族自治区柳州市融水苗族自治县,城镇,共青团员,69,-1,0
14613,何凡,男,汉族,2017,2002-06-21,安徽省合肥市合肥市,城镇,共青团员,70,304,0
14614,华晶,女,汉族,2017,2001-06-07,云南省楚雄彝族自治州大姚县,城镇,共青团员,71,-1,0
14615,施胜英,女,汉族,2016,2001-11-05,湖南省常德市石门县,城镇,共青团员,72,-1,0
14616,陈嘉,女,汉族,2017,2002-06-13,云南省红河哈尼族彝族自治州河口瑶族自治县,城镇,共青团员,73,-1,0
14617,何太群,男,汉族,2016,2001-06-14,广西壮族自治区百色市西林县,城镇,共青团员,74,-1,0
14618,严胜英,女,汉族,2017,2001-06-23,河北省邢台市南和县,城镇,共青团员,75,-1,0
14619,施倩,女,汉族,2017,2001-01-01,安徽省淮北市烈山区,城镇,共青团员,76,-1,0
14620,杨影,女,汉族,2017,2002-01-19,山东省潍坊市坊子区,城镇,共青团员,77,-1,0
14621,吕兴怡,男,汉族,2016,2002-07-22,内蒙古自治区鄂尔多斯市伊金霍洛旗,城镇,共青团员,78,-1,0
14622,谢娴,女,汉族,2017,2001-03-20,山西省长治市屯留县,城镇,共青团员,79,-1,0
14623,钱敏茹,女,汉族,2016,2002-05-01,安徽省宿州市萧县,城镇,共青团员,80,-1,0
14624,孔祖香,男,汉族,2016,2001-07-10,山东省潍坊市寒亭区,城镇,共青团员,81,-1,0
14625,葛惠,男,汉族,2017,2001-01-18,江西省上饶市铅山县,城镇,共青团员,82,-1,0
14626,赵朱娇,男,汉族,2016,2002-09-25,河南省焦作市解放区,城镇,共青团员,83,-1,0
14627,濮阳莉,男,汉族,2017,2001-02-10,江苏省南京市高淳区,城镇,共青团员,84,-1,0
14628,周露,女,汉族,2017,2001-10-08,四川省攀枝花市攀枝花市,城镇,共青团员,85,-1,0
14629,施丹珍,男,汉族,2016,2001-08-01,四川省南充市阆中市,城镇,共青团员,86,-1,0
14630,奚雁,男,汉族,2016,2001-11-15,湖北省随州市广水市,城镇,共青团员,87,319,0
14631,卫欣琪,男,汉族,2016,2001-04-05,河南省信阳市潢川县,城镇,共青团员,88,-1,0
14632,尤彩艳,女,汉族,2017,2002-11-06,西藏自治区阿里地区噶尔县,城镇,共青团员,89,-1,0
14633,鲁朱娇,女,汉族,2016,2001-08-04,江西省吉安市井冈山市,城镇,共青团员,90,-1,0
14634,钱燕,男,汉族,2017,2001-09-18,安徽省阜阳市颍东区,城镇,共青团员,91,-1,0
14635,蒋南莲,男,汉族,2016,2002-07-17,西藏自治区昌都市类乌齐县,城镇,少先队员,92,-1,0
14636,赵章洪,男,汉族,2017,2002-06-21,湖南省衡阳市衡阳县,城镇,共青团员,93,-1,0
14638,华优优,女,汉族,2017,2001-10-14,河南省安阳市汤阴县,城镇,共青团员,94,-1,0
14639,蒋姬,女,汉族,2017,2002-06-06,广东省湛江市湛江市,城镇,共青团员,95,-1,0
14824,张佳丽,女,汉族,2016,2001-10-19,贵州省贵阳市观山湖区,城镇,共青团员,96,602,0
14640,何纨,女,汉族,2017,2001-02-23,甘肃省定西市岷县,城镇,共青团员,97,-1,0
14641,金影,男,汉族,2017,2002-03-01,贵州省安顺市紫云苗族布依族自治县,城镇,共青团员,98,-1,0
14676,褚耀文,男,汉族,2016,2001-03-02,湖北省十堰市丹江口市,城镇,一般,99,-1,0
14642,严乐萱,女,汉族,2017,2001-11-26,内蒙古自治区锡林郭勒盟镶黄旗,城镇,共青团员,100,-1,0
14643,卫招弟,男,汉族,2016,2002-11-01,山西省朔州市平鲁区,城镇,共青团员,101,-1,0
14644,孙孝洁,女,汉族,2017,2001-04-24,贵州省黔南布依族苗族自治州三都水族自治县,城镇,共青团员,102,-1,0
14645,施菁,男,汉族,2017,2002-03-09,新疆维吾尔自治区塔城地区塔城市,城镇,共青团员,103,-1,0
14646,尤醉薇,男,汉族,2017,2002-04-27,山东省威海市文登区,城镇,共青团员,104,-1,0
14647,施良翠,男,汉族,2017,2001-06-25,江苏省盐城市东台市,城镇,共青团员,105,-1,0
14648,谢芳,男,汉族,2017,2002-03-03,湖北省荆州市松滋市,城镇,共青团员,106,-1,0
14649,姜迎春,男,汉族,2016,2002-11-03,吉林省通化市柳河县,城镇,共青团员,107,-1,0
14650,朱琼,男,汉族,2017,2001-04-22,海南省海口市海口市,城镇,共青团员,108,-1,0
14651,许痴梦,女,汉族,2017,2001-05-09,山西省吕梁市孝义市,城镇,共青团员,109,-1,0
14652,戚静,女,汉族,2017,2002-07-08,吉林省长春市德惠市,城镇,共青团员,110,-1,0
14653,施育彤,男,汉族,2016,2002-06-07,甘肃省酒泉市肃州区,城镇,共青团员,111,-1,0
14654,华阳涌,女,汉族,2017,2001-03-22,吉林省四平市梨树县,城镇,共青团员,112,-1,0
14655,隗佳玲,男,汉族,2016,2002-05-24,四川省宜宾市高县,城镇,共青团员,113,-1,0
14908,张火英,男,汉族,2017,2002-01-21,安徽省滁州市天长市,城镇,共青团员,114,209,0
14656,姜含卉,女,汉族,2016,2001-05-16,云南省怒江傈僳族自治州兰坪白族普米族自治县,城镇,共青团员,115,-1,0
14657,孙婷,男, 土家族,2016,2002-02-20,河北省唐山市古冶区,城镇,共青团员,116,-1,0
14658,张晓,女,汉族,2017,2001-04-03,广东省惠州市惠城区,城镇,共青团员,117,-1,0
14659,华念梅,男,汉族,2017,2002-01-04,江西省鹰潭市贵溪市,城镇,共青团员,118,-1,0
14660,昌美丽,女,汉族,2017,2002-08-27,四川省凉山彝族自治州昭觉县,城镇,共青团员,119,-1,0
14661,吕佳丽,女,汉族,2016,2001-09-18,辽宁省铁岭市调兵山市,城镇,共青团员,120,-1,0
14662,庞小蝶,男,汉族,2017,2001-08-13,云南省楚雄彝族自治州双柏县,城镇,共青团员,121,-1,0
14663,吴雪萍,女,汉族,2017,2001-06-04,吉林省松原市乾安县,城镇,共青团员,122,-1,0
14664,韩悦明,女,汉族,2016,2002-10-11,江西省赣州市寻乌县,城镇,共青团员,123,-1,0
14665,陈半雪,女,汉族,2016,2001-07-03,浙江省金华市永康市,城镇,共青团员,124,607,0
14666,沈孝洁,男,汉族,2016,2002-10-14,四川省攀枝花市仁和区,城镇,共青团员,125,306,0
14667,戚琴,女,汉族,2017,2002-08-23,西藏自治区阿里地区札达县,城镇,共青团员,126,-1,0
14668,孔高彭,女,汉族,2017,2002-08-08,新疆维吾尔自治区伊犁哈萨克自治州奎屯市,城镇,共青团员,127,-1,0
14669,吴春文,女,汉族,2016,2001-10-12,河北省衡水市冀州区,城镇,共青团员,128,-1,0
14670,陈梅香,女,汉族,2016,2001-04-10,四川省甘孜藏族自治州雅江县,城镇,共青团员,129,-1,0
14671,孔妍,男,汉族,2016,2001-08-24,福建省漳州市漳州市,城镇,共青团员,130,-1,0
14672,沈光兰,女,汉族,2017,2001-10-26,内蒙古自治区呼和浩特市赛罕区,城镇,共青团员,131,-1,0
14673,蒋宁,女,苗族,2017,2002-03-20,山西省朔州市应县,城镇,共青团员,132,614,0
14674,孙亚,女,汉族,2017,2002-07-27,河南省许昌市魏都区,城镇,共青团员,133,-1,0
14675,严迎春,女,汉族,2016,2001-04-03,山西省运城市垣曲县,城镇,共青团员,134,-1,0
14677,吴胜英,男,汉族,2017,2001-10-26,山东省聊城市临清市,城镇,共青团员,135,-1,0
14678,赵启芬,男,汉族,2017,2002-10-13,安徽省阜阳市阜南县,城镇,共青团员,136,-1,0
14679,冯翠安,男,汉族,2017,2001-08-15,河南省商丘市民权县,城镇,共青团员,137,-1,0
14680,蒋寻文,女,汉族,2017,2002-07-26,辽宁省沈阳市康平县,城镇,共青团员,138,-1,0
14681,杨倩,男,汉族,2016,2001-10-17,陕西省汉中市佛坪县,城镇,共青团员,139,-1,0
14682,顾馨语,男,汉族,2016,2001-07-07,吉林省长春市二道区,城镇,共青团员,140,-1,0
14683,何冰露,男,汉族,2016,2002-09-26,湖南省湘西土家族苗族自治州凤凰县,城镇,共青团员,141,317,0
14684,沈念梅,男,汉族,2017,2002-02-09,辽宁省本溪市明山区,城镇,共青团员,142,-1,0
14685,陶灵竹,女,汉族,2016,2001-04-23,河南省商丘市商丘市,城镇,共青团员,143,606,0
14686,陶朱娇,女,汉族,2017,2002-02-05,辽宁省铁岭市调兵山市,城镇,共青团员,144,611,0
14687,杨翠柔,男,汉族,2016,2001-07-05,陕西省咸阳市永寿县,城镇,共青团员,145,-1,0
14688,孙淇,男,汉族,2016,2001-02-05,黑龙江省鸡西市鸡西市,城镇,共青团员,146,-1,0
14689,殷莺,女,汉族,2017,2001-01-12,甘肃省庆阳市宁县,城镇,共青团员,147,-1,0
14690,蒋念念,女,汉族,2016,2001-06-09,吉林省吉林市吉林市,城镇,共青团员,148,-1,0
14691,钱冬儿,女,汉族,2016,2002-02-04,内蒙古自治区包头市白云鄂博矿区,城镇,共青团员,149,-1,0
14692,潘念,女,汉族,2016,2001-10-03,山东省聊城市临清市,城镇,共青团员,150,-1,0
14693,冯子彤,男,汉族,2016,2002-08-18,云南省文山壮族苗族自治州西畴县,城镇,共青团员,151,317,0
14694,章婕,女,汉族,2017,2002-02-12,内蒙古自治区锡林郭勒盟苏尼特左旗,城镇,共青团员,152,618,0
14695,戚融,女,汉族,2016,2002-07-13,吉林省松原市前郭尔罗斯蒙古族自治县,城镇,共青团员,153,605,0
14696,安贞,女,汉族,2016,2001-07-01,广东省深圳市南山区,城镇,共青团员,154,614,0
14697,严虹霖,女,汉族,2016,2002-07-01,河北省衡水市冀州区,城镇,共青团员,155,602,0
14698,蒋朱娇,男,汉族,2017,2002-04-11,河南省南阳市西峡县,城镇,共青团员,156,-1,0
14699,韩紫霜,女,汉族,2016,2002-09-26,广西壮族自治区柳州市柳州市,城镇,共青团员,157,617,0
14700,顾肇琪,男,汉族,2016,2001-02-05,江西省新余市分宜县,城镇,共青团员,158,-1,0
14701,沈娣,男,汉族,2016,2001-11-04,江西省赣州市信丰县,城镇,共青团员,159,319,0
14702,孙静,男,汉族,2017,2001-04-25,河北省邯郸市临漳县,城镇,共青团员,160,317,0
14703,韩傲文,男,汉族,2017,2002-08-01,西藏自治区日喀则市南木林县,城镇,共青团员,161,-1,0
14704,胡礼杰,女,汉族,2016,2001-08-02,安徽省六安市裕安区,城镇,共青团员,162,-1,0
14705,秦寒,女,汉族,2016,2001-03-01,重庆市重庆市铜梁区,城镇,共青团员,163,-1,0
14706,孔程悦,女,汉族,2017,2001-09-12,安徽省宣城市宁国市,城镇,共青团员,164,-1,0
14707,魏念梅,男,汉族,2016,2002-02-11,山东省莱芜市莱城区,城镇,共青团员,165,-1,0
14708,沈明艳,男,汉族,2016,2002-07-10,山西省阳泉市阳泉市,城镇,共青团员,166,-1,0
14709,姜春燕,男,汉族,2017,2001-09-18,广西壮族自治区玉林市福绵区,城镇,共青团员,167,-1,0
14871,韩胜敏,男,汉族,2016,2002-09-09,安徽省芜湖市镜湖区,城镇,共青团员,168,302,0
14710,卫虹霖,男,汉族,2017,2001-11-23,云南省普洱市宁洱哈尼族彝族自治县,城镇,共青团员,169,-1,0
14711,钱功碧,男,汉族,2017,2001-08-04,四川省德阳市德阳市,城镇,共青团员,170,304,0
14712,赵易梦,男,汉族,2017,2001-04-14,河南省安阳市北关区,城镇,共青团员,171,308,0
14713,戈亦寒,男,汉族,2017,2001-10-15,河南省开封市顺河回族区,城镇,共青团员,172,317,0
14714,孔婷婷,男,汉族,2016,2001-02-23,江西省南昌市东湖区,城镇,共青团员,173,314,0
14715,戚珍,男,汉族,2016,2001-11-02,辽宁省辽阳市宏伟区,城镇,共青团员,174,317,0
14716,华山柳,女,汉族,2017,2002-06-06,山西省大同市大同市,城镇,共青团员,175,-1,0
14717,杨惜雪,女,汉族,2016,2001-06-22,西藏自治区日喀则市吉隆县,城镇,共青团员,176,-1,0
14718,吴雨祺,女,汉族,2017,2002-10-19,甘肃省天水市麦积区,城镇,共青团员,177,603,0
14719,张玉婷,男,汉族,2017,2002-05-16,黑龙江省齐齐哈尔市依安县,城镇,共青团员,178,-1,0
14721,蒋惜雪,女,汉族,2016,2001-03-20,黑龙江省鸡西市恒山区,城镇,共青团员,179,-1,0
14722,魏仪,女,汉族,2016,2002-01-12,陕西省宝鸡市眉县,城镇,共青团员,180,-1,0
14723,周晓磊,男,汉族,2016,2002-03-06,江苏省宿迁市宿迁市,城镇,共青团员,181,-1,0
14724,魏莉莎,女,汉族,2016,2001-01-07,安徽省滁州市明光市,城镇,共青团员,182,-1,0
14725,韩丽丽,女,汉族,2016,2002-08-25,四川省德阳市广汉市,城镇,共青团员,183,619,0
14726,陈晓,女,汉族,2016,2001-03-16,江苏省扬州市扬州市,城镇,共青团员,184,-1,0
14727,蒋侦,女,汉族,2017,2002-10-10,江西省吉安市万安县,城镇,共青团员,185,-1,0
14728,张荔,女,汉族,2017,2001-09-06,辽宁省盘锦市盘山县,城镇,共青团员,186,-1,0
14729,吴莎莎,女,汉族,2017,2002-01-10,新疆维吾尔自治区阿勒泰地区哈巴河县,城镇,共青团员,187,-1,0
14730,尤瑶,女,汉族,2017,2002-08-23,江西省赣州市于都县,城镇,共青团员,188,-1,0
14731,严发弟,男,汉族,2016,2002-07-24,河北省承德市双桥区,城镇,共青团员,189,-1,0
14732,薛树平,女,汉族,2017,2001-05-24,湖南省常德市常德市,城镇,共青团员,190,-1,0
14733,吴亚,女,汉族,2016,2001-11-12,贵州省黔南布依族苗族自治州三都水族自治县,城镇,共青团员,191,-1,0
14734,尤丽,女,汉族,2016,2002-09-15,河南省平顶山市舞钢市,城镇,共青团员,192,-1,0
14735,曹传敏,女,汉族,2016,2002-05-22,内蒙古自治区呼伦贝尔市扎赉诺尔区,城镇,共青团员,193,-1,0
14736,俞凝,女,汉族,2016,2001-07-15,河北省张家口市桥西区,城镇,共青团员,194,607,0
14737,郑文秀,女,汉族,2017,2001-01-06,浙江省宁波市奉化市,城镇,共青团员,195,-1,0
14738,蒋瑶,女,汉族,2017,2001-05-07,福建省三明市建宁县,城镇,共青团员,196,613,0
14739,金太红,男,汉族,2017,2001-07-15,江苏省常州市金坛区,城镇,共青团员,197,-1,0
14740,卫佳玲,女,汉族,2017,2002-05-04,甘肃省酒泉市玉门市,城镇,共青团员,198,-1,0
14741,冯婷,男,汉族,2016,2002-10-12,内蒙古自治区通辽市科尔沁左翼后旗,城镇,共青团员,199,-1,0
14742,魏婷婷,女,汉族,2016,2002-05-03,山东省淄博市淄川区,城镇,共青团员,200,-1,0
14743,赵丽,男,汉族,2017,2001-10-18,青海省西宁市城西区,城镇,共青团员,201,-1,0
14744,陶娜,男,汉族,2016,2002-04-02,河北省廊坊市香河县,城镇,共青团员,202,-1,0
14745,魏菜玲,女,汉族,2017,2001-10-04,山西省长治市黎城县,城镇,共青团员,203,-1,0
14746,孔秀英,女,汉族,2017,2001-06-24,内蒙古自治区阿拉善盟额济纳旗,城镇,共青团员,204,-1,0
14747,褚碧香,男,汉族,2017,2001-06-24,浙江省金华市金华市,城镇,共青团员,205,-1,0
14748,蒋元群,女,汉族,2017,2002-11-25,湖北省咸宁市崇阳县,城镇,共青团员,206,-1,0
14749,郑江霞,男,汉族,2017,2002-03-16,陕西省宝鸡市千阳县,城镇,共青团员,207,-1,0
14750,周育,女,汉族,2017,2001-11-03,江苏省盐城市滨海县,城镇,共青团员,208,-1,0
14751,施念,女,汉族,2017,2001-11-19,浙江省杭州市建德市,城镇,共青团员,209,-1,0
14752,魏花长,女,汉族,2016,2002-10-16,浙江省温州市乐清市,城镇,共青团员,210,-1,0
14753,卫访琴,男,汉族,2016,2002-02-20,四川省甘孜藏族自治州康定市,城镇,共青团员,211,-1,0
14754,戚美美,男,汉族,2017,2001-01-27,内蒙古自治区乌海市海南区,城镇,共青团员,212,-1,0
14755,魏凌珍,男,汉族,2017,2001-07-19,广东省清远市英德市,城镇,共青团员,213,-1,0
14756,严之山,男,汉族,2016,2001-05-02,浙江省杭州市滨江区,城镇,共青团员,214,-1,0
14757,冯明艳,男,汉族,2017,2001-10-15,广东省广州市番禺区,城镇,共青团员,215,-1,0
14758,杨恩珍,男,汉族,2016,2001-11-17,河北省邢台市邢台市,城镇,共青团员,216,-1,0
14759,金黛,女,汉族,2017,2002-06-26,四川省宜宾市筠连县,城镇,共青团员,217,-1,0
14760,李玉晶,女,汉族,2017,2001-09-24,河南省平顶山市湛河区,城镇,共青团员,218,-1,0
14922,钱纨,男,汉族,2017,2002-10-10,山西省吕梁市汾阳市,城镇,共青团员,219,203,0
14761,赖羽,女,汉族,2017,2002-01-20,安徽省滁州市全椒县,城镇,共青团员,220,-1,0
14762,蒋紫霜,男,汉族,2016,2002-03-12,山西省忻州市静乐县,城镇,共青团员,221,-1,0
14763,魏苹,女,汉族,2017,2002-01-06,河南省信阳市平桥区,城镇,共青团员,222,-1,0
14764,蒋文倩,男,汉族,2017,2001-11-22,河南省安阳市林州市,城镇,共青团员,223,-1,0
14765,韩静,女,汉族,2016,2001-01-11,新疆维吾尔自治区克孜勒苏柯尔克孜自治州乌恰县,城镇,共青团员,224,-1,0
14766,陈瑶,女,汉族,2017,2001-11-01,江苏省苏州市姑苏区,城镇,共青团员,225,-1,0
14767,秦虹,男,汉族,2017,2001-04-14,海南省三亚市三亚市,城镇,共青团员,226,-1,0
14768,王显丽,男,汉族,2016,2001-10-08,广东省河源市河源市,城镇,共青团员,227,-1,0
14769,喻菲,男,汉族,2016,2002-09-10,辽宁省沈阳市法库县,城镇,共青团员,228,-1,0
14770,何贞,女,汉族,2017,2002-04-05,安徽省安庆市安庆市,城镇,共青团员,229,-1,0
14771,农光萍,男,汉族,2017,2001-05-03,河南省安阳市北关区,城镇,共青团员,230,306,0
14772,魏淇,男,汉族,2016,2002-03-02,山东省济南市市中区,城镇,共青团员,231,-1,0
14773,施慧娟,女,汉族,2016,2001-09-19,辽宁省葫芦岛市连山区,城镇,共青团员,232,-1,0
14774,冯傲文,女,汉族,2016,2002-03-26,四川省绵阳市江油市,城镇,共青团员,233,-1,0
14775,奚乐萱,男,汉族,2017,2001-05-24,湖南省湘潭市湘潭县,城镇,共青团员,234,-1,0
14776,孙凡,男,汉族,2017,2002-07-22,湖南省邵阳市新宁县,城镇,共青团员,235,-1,0
14777,杨睿敏,女,汉族,2017,2002-11-12,广西壮族自治区玉林市容县,城镇,共青团员,236,-1,0
14778,吴静娴,女,汉族,2016,2002-11-24,安徽省安庆市太湖县,城镇,共青团员,237,-1,0
14779,钱迎春,男,汉族,2016,2001-02-13,浙江省丽水市龙泉市,城镇,共青团员,238,-1,0
14780,张妹妹,女,汉族,2017,2001-03-06,新疆维吾尔自治区喀什地区塔什库尔干塔吉克自治县,城镇,共青团员,239,-1,0
14781,冯桂花,男,汉族,2016,2001-03-20,山东省淄博市沂源县,城镇,共青团员,240,-1,0
14782,华珊,女,汉族,2016,2002-02-18,山东省淄博市沂源县,城镇,共青团员,241,-1,0
14783,匡德群,男,汉族,2017,2001-01-17,河北省承德市平泉县,城镇,共青团员,242,-1,0
14784,韩彤,女,汉族,2017,2002-11-20,西藏自治区日喀则市定日县,城镇,共青团员,243,-1,0
14785,秦春文,男,汉族,2016,2001-06-03,河北省保定市安新县,城镇,共青团员,244,-1,0
14786,沈佳,男,汉族,2016,2002-04-24,青海省海北藏族自治州祁连县,城镇,共青团员,245,-1,0
14787,奚羽,男,汉族,2016,2002-06-10,四川省凉山彝族自治州会东县,城镇,共青团员,246,-1,0
14788,韩雪倩,女,汉族,2017,2002-03-25,黑龙江省哈尔滨市香坊区,城镇,共青团员,247,-1,0
14789,华胜英,女,汉族,2016,2001-04-21,云南省昆明市五华区,城镇,共青团员,248,621,0
14790,王月珍,女,汉族,2017,2002-04-20,云南省曲靖市陆良县,城镇,共青团员,249,-1,0
14791,韩英,女,汉族,2016,2001-10-15,内蒙古自治区呼伦贝尔市呼伦贝尔市,城镇,共青团员,250,-1,0
14792,张慧,女,汉族,2017,2002-01-15,安徽省黄山市黄山区,城镇,共青团员,251,-1,0
14793,沈春文,男,汉族,2016,2002-08-13,浙江省金华市永康市,城镇,共青团员,252,-1,0
