教师ID,教师名,性别,民族,政治面貌,学历,出生日期,联系电话,邮箱
234,金韵,女,汉族,一般,大学本科,1991/3/15,10989346286,1423424114@qq.com
242,张红萍,女,汉族,一般,大学本科,1991/3/31,19737862204,1021551333@qq.com
17,秦冰彤,女,满族,一般,大学本科,1991/4/2,15327415162,1232168124@qq.com
264,吕尔珍,女,汉族,共产党员,大学本科,1991/4/12,16350595172,1389365971@qq.com
163,钱问筠,女,汉族,一般,大学本科,1991/4/22,14347351254,1877690277@qq.com
219,赵丽,男,汉族,一般,大学本科,1991/5/3,17328055563,1116919917@qq.com
62,杨心菲,男,汉族,一般,大学本科,1991/5/7,11541669283,1502751865@qq.com
316,华平夏,男,汉族,一般,大学本科,1991/5/8,18568238347,1529802476@qq.com
183,吴雨祺,女,汉族,一般,大学本科,1991/5/10,17924534621,1633294863@qq.com
193,王园,男,汉族,一般,大学本科,1991/5/11,12369648752,1294381564@qq.com
180,钱胜珍,女,汉族,一般,大学本科,1991/5/14,19777844911,1105116854@qq.com
64,孔蓉,男,汉族,一般,大学本科,1991/5/17,10506658529,1839969604@qq.com
95,吴黛,男,汉族,共产党员,大学本科,1991/5/18,18482492054,1639164487@qq.com
106,李帮菊,男,汉族,一般,大学本科,1991/5/19,17781755125,1091617244@qq.com
146,陶寻南,女,汉族,一般,大学本科,1991/5/20,15753907069,1202039850@qq.com
172,曹妍,女,汉族,一般,大学本科,1991/5/21,15406290380,1306365162@qq.com
174,许兰燕,女,汉族,一般,大学本科,1991/5/22,12991995391,1094399936@qq.com
188,韦瑶,女,汉族,一般,大学本科,1991/5/23,17561938864,1066722524@qq.com
196,施访枫,女,汉族,一般,大学本科,1991/5/24,11655819722,1414278249@qq.com
223,吕火英,女,汉族,一般,大学本科,1991/5/29,16988594406,1650131169@qq.com
116,俞红燕,女,汉族,一般,大学本科,1991/5/30,18876555771,1765938080@qq.com
245,沈春萍,男,汉族,一般,大学本科,1991/6/1,11666787119,1031488793@qq.com
171,郑苑,女,汉族,一般,大学本科,1991/6/4,16123664334,1832274011@qq.com
57,许程悦,女,汉族,一般,大学本科,1991/6/14,13701129215,1148394258@qq.com
246,周昭东,男,汉族,一般,大学本科,1991/6/15,18370053630,1828306295@qq.com
333,戚纨,女,汉族,一般,大学本科,1991/6/16,17179293851,1585751943@qq.com
148,苗艺,男,汉族,一般,大学本科,1991/6/17,17546897568,1035835533@qq.com
167,沈乐萱,男,汉族,一般,大学本科,1991/6/18,15377299932,1793189586@qq.com
187,严政群,男,汉族,一般,大学本科,1991/6/20,11672580823,1543083972@qq.com
119,柳慧娟,男,汉族,一般,大学本科,1991/6/26,18923347858,1148256084@qq.com
266,东门夏青,女,汉族,一般,大学本科,1991/6/27,17656721325,1813439874@qq.com
192,冯秋,男,汉族,一般,大学本科,1991/7/8,12945894577,1184642938@qq.com
334,戚洪静,男,汉族,一般,大学本科,1991/7/10,10592482540,1642531800@qq.com
83,申黄萍,男,汉族,一般,大学本科,1991/7/11,16772557724,1789108629@qq.com
272,韩啟倩,女,汉族,一般,大学本科,1991/7/12,15612118623,1708502831@qq.com
265,章姚,女,汉族,一般,大学本科,1991/7/13,10514549839,1055392890@qq.com
281,吴南莲,女,汉族,一般,大学本科,1991/7/17,11960113423,1396910622@qq.com
117,沈美丽,男,汉族,一般,大学本科,1991/7/22,12123603003,1113856631@qq.com
159,孔滢,女,汉族,一般,大学本科,1991/7/27,17600467548,1693290000@qq.com
49,沈成倩,女,汉族,一般,大学本科,1991/8/5,11049660125,1539777072@qq.com
243,富易梦,女,汉族,共产党员,大学本科,1991/8/6,11243268127,1077286294@qq.com
128,陈红燕,女,汉族,一般,大学本科,1991/8/7,17719102137,1173103446@qq.com
337,彭丽丽,男,汉族,一般,大学本科,1991/8/11,10399769515,1763311664@qq.com
226,秦尔珍,女,汉族,一般,大学本科,1991/8/19,18998202250,1863175972@qq.com
98,施瑶,女,汉族,一般,大学本科,1991/8/20,18053991336,1288480170@qq.com
248,唐黛,女,汉族,一般,大学本科,1991/8/21,17104101853,1419344580@qq.com
326,何朱婷,女,汉族,一般,大学本科,1991/8/22,17665985305,1049298648@qq.com
197,赵瑶,女,汉族,一般,大学本科,1991/8/25,10538886588,1776995263@qq.com
220,曹琼琼,男,汉族,一般,大学本科,1991/8/29,16188682539,1737031196@qq.com
58,杨荔,女,汉族,一般,大学本科,1991/8/31,16016855682,1646768183@qq.com
71,杨丽,女,汉族,一般,大学本科,1991/9/1,11257472427,1184962598@qq.com
229,朱阳涌,男,汉族,一般,大学本科,1991/9/2,13861099250,1548329740@qq.com
189,周蕊,女,汉族,一般,大学本科,1991/9/6,13067850320,1568908541@qq.com
97,施梦娇,女,汉族,一般,大学本科,1991/9/12,10615303826,1014524642@qq.com
228,冯夜白,女,汉族,共产党员,大学本科,1991/9/15,13415708615,1028181948@qq.com
2,孙之瑶,女,汉族,一般,大学本科,1991/9/16,19426433772,1254476150@qq.com
273,严英,女,汉族,一般,大学本科,1991/9/25,18391218557,1862832338@qq.com
101,曹舒,女,汉族,一般,大学本科,1991/5/20,15753907069,1202039850@qq.com
46,朱安琪,女,汉族,一般,大学本科,1991/5/21,15406290380,1306365162@qq.com
6,尤洪丽,女,汉族,一般,大学本科,1991/5/22,12991995391,1094399936@qq.com
345,金蓉,女,汉族,一般,大学本科,1991/5/23,17561938864,1066722524@qq.com
346,余武琴,女,汉族,一般,大学本科,1991/5/24,11655819722,1414278249@qq.com
149,孔芯蕊,女,汉族,一般,大学本科,1991/5/29,16988594406,1650131169@qq.com
24,吴娴,女,汉族,一般,大学本科,1991/5/30,18876555771,1765938080@qq.com
102,尤大芬,男,汉族,一般,大学本科,1991/6/1,11666787119,1031488793@qq.com
198,何迎曼,女,汉族,一般,大学本科,1991/6/4,16123664334,1832274011@qq.com
111,郑静雯,女,汉族,一般,大学本科,1991/6/14,13701129215,1148394258@qq.com
267,吴慧,男,汉族,一般,大学本科,1991/6/15,18370053630,1828306295@qq.com
371,李瑶,女,汉族,一般,大学本科,1991/6/16,17179293851,1585751943@qq.com
370,吕虹霖,男,汉族,一般,大学本科,1991/6/17,17546897568,1035835533@qq.com
369,金光萍,男,汉族,一般,大学本科,1991/6/18,15377299932,1793189586@qq.com
373,卫昌菊,男,汉族,一般,大学本科,1991/6/20,11672580823,1543083972@qq.com
186,姜秀芳,男,汉族,一般,大学本科,1991/6/26,18923347858,1148256084@qq.com
372,朱醉薇,女,汉族,一般,大学本科,1991/6/27,17656721325,1813439874@qq.com
341,朱灿灿,男,汉族,一般,大学本科,1991/7/8,12945894577,1184642938@qq.com
240,邹梅梅,男,汉族,一般,大学本科,1991/7/10,10592482540,1642531800@qq.com
376,云荷,男,汉族,一般,大学本科,1991/7/11,16772557724,1789108629@qq.com
383,郑锦,女,汉族,一般,大学本科,1991/7/12,15612118623,1708502831@qq.com
389,陶秋,女,汉族,一般,大学本科,1991/7/13,10514549839,1055392890@qq.com
384,沈瑗,女,汉族,一般,大学本科,1991/7/17,11960113423,1396910622@qq.com
380,张翠柔,男,汉族,一般,大学本科,1991/7/22,12123603003,1113856631@qq.com
113,许秋,女,汉族,一般,大学本科,1991/7/27,17600467548,1693290000@qq.com
162,姜佳玲,女,汉族,一般,大学本科,1991/8/5,11049660125,1539777072@qq.com
382,尤梅梅,女,汉族,共产党员,大学本科,1991/8/6,11243268127,1077286294@qq.com
388,褚翠翠,女,汉族,一般,大学本科,1991/8/7,17719102137,1173103446@qq.com
381,冯宛海,男,汉族,一般,大学本科,1991/8/11,10399769515,1763311664@qq.com
270,华传敏,女,汉族,一般,大学本科,1991/8/19,18998202250,1863175972@qq.com
299,钱含玉,女,汉族,一般,大学本科,1991/8/20,18053991336,1288480170@qq.com
409,戚瑶,女,汉族,一般,大学本科,1991/8/21,17104101853,1419344580@qq.com
417,公羊梦,女,汉族,一般,大学本科,1991/8/22,17665985305,1049298648@qq.com
420,吴莉,女,汉族,一般,大学本科,1991/8/25,10538886588,1776995263@qq.com
413,於明珠,男,汉族,一般,大学本科,1991/8/29,16188682539,1737031196@qq.com
407,华翠翠,女,汉族,一般,大学本科,1991/8/31,16016855682,1646768183@qq.com
410,吴思,女,汉族,一般,大学本科,1991/9/1,11257472427,1184962598@qq.com
421,陶欣怡,男,汉族,一般,大学本科,1991/9/2,13861099250,1548329740@qq.com
394,仰舒,女,汉族,一般,大学本科,1991/9/6,13067850320,1568908541@qq.com
403,赵甜,女,汉族,一般,大学本科,1991/9/12,10615303826,1014524642@qq.com
402,朱思,女,汉族,共产党员,大学本科,1991/9/15,13415708615,1028181948@qq.com
414,李仪,女,汉族,一般,大学本科,1991/9/16,19426433772,1254476150@qq.com
393,曹开凤,女,汉族,一般,大学本科,1991/9/25,18391218557,1862832338@qq.com
418,赵娟,女,汉族,一般,大学本科,1991/8/22,17665985305,1049298648@qq.com
416,王阳涌,女,汉族,一般,大学本科,1991/8/25,10538886588,1776995263@qq.com
399,孔优优,男,汉族,一般,大学本科,1991/8/29,16188682539,1737031196@qq.com
423,况景玉,女,汉族,一般,大学本科,1991/8/31,16016855682,1646768183@qq.com
419,陈翡翠,女,汉族,一般,大学本科,1991/9/1,11257472427,1184962598@qq.com
429,陈桂,男,汉族,一般,大学本科,1991/9/2,13861099250,1548329740@qq.com
404,许丹,女,汉族,一般,大学本科,1991/9/6,13067850320,1568908541@qq.com
405,卫念念,女,汉族,一般,大学本科,1991/9/12,10615303826,1014524642@qq.com
406,严翠柔,女,汉族,共产党员,大学本科,1991/9/15,13415708615,1028181948@qq.com
